security_key,project_ticker,company_name,corporate_event_date,last_valid_trading_date,accepted_effective_end_exclusive,event_type,acquirer,trading_suspension_date,termination_basis,evidence_status,provider_terminal_date,provider_terminal_action,source_url,notes
CXO,CXO,Concho Resources Inc.,2021-01-15,2021-01-15,2021-01-19,MERGER_ACQUISITION,ConocoPhillips,2021-01-19,FIRST_SESSION_AFTER_LAST_VALID_TRADE,CORROBORATED,2021-01-15,KEEP,https://www.sec.gov/Archives/edgar/data/1358071/000110465921004795/tm213218d6_8k.htm,"Acquisition completed January 15, 2021. Tiingo terminal observation is retained. No price is expected beginning with the next NYSE session on January 19."
VAR,VAR,"Varian Medical Systems, Inc.",2021-04-15,2021-04-15,2021-04-16,MERGER_ACQUISITION,Siemens Healthineers,2021-04-16,FORMAL_TRADING_BOUNDARY,CORROBORATED,2021-04-16,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/203527/000119312521117256/0001193125-21-117256-index.htm,Acquisition and delisting process occurred April 15. The Tiingo observation dated April 16 is not accepted as an independent trading observation. The analytical history ends after April 15.
INFO,INFO,IHS Markit Ltd.,2022-02-28,2022-02-25,2022-02-28,MERGER_ACQUISITION,S&P Global Inc.,2022-02-28,SUSPENDED_BEFORE_MARKET_OPEN,VERIFIED,2022-02-25,KEEP,https://www.sec.gov/Archives/edgar/data/1598014/000119312522056012/d315930d8k.htm,"NYSE trading was suspended before the opening on February 28, 2022. February 25 is the final valid trading date."
TWTR,TWTR,"Twitter, Inc.",2022-10-27,2022-10-27,2022-10-28,MERGER_PRIVATIZATION,"X Holdings I, Inc.",2022-10-28,SUSPENDED_BEFORE_MARKET_OPEN,VERIFIED,2022-10-28,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/1418091/000119312522272772/d411753d8k.htm,The merger closed October 27. NYSE trading was suspended before the opening on October 28. The Tiingo row dated October 28 is excluded.
ATVI,ATVI,"Activision Blizzard, Inc.",2023-10-13,2023-10-12,2023-10-13,MERGER_ACQUISITION,Microsoft Corporation,2023-10-13,SUSPENDED_BEFORE_MARKET_OPEN,VERIFIED,2023-10-13,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/718877/000110465923108985/tm2328253d1_8k.htm,"Nasdaq was requested to halt trading before the opening on October 13, 2023. The Tiingo row dated October 13 is excluded."
PXD,PXD,Pioneer Natural Resources Company,2024-05-03,2024-05-02,2024-05-03,MERGER_ACQUISITION,Exxon Mobil Corporation,2024-05-03,MERGER_EFFECTIVE_BOUNDARY,CORROBORATED,2024-05-03,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/34088/000095010324006322/dp210867_8k.htm,"ExxonMobil completed the acquisition on May 3, 2024. The same-day provider row is excluded pending any contrary exchange-level evidence."
MRO,MRO,Marathon Oil Corporation,2024-11-22,2024-11-21,2024-11-22,MERGER_ACQUISITION,ConocoPhillips,2024-11-22,SUSPENDED_BEFORE_MARKET_OPEN,VERIFIED,2024-11-22,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/101778/000087666124001100/ruleprovisionnotice.htm,"The merger became effective before market open on November 22, 2024, and NYSE trading was suspended that day. The Tiingo row dated November 22 is excluded."
CTLT,CTLT,"Catalent, Inc.",2024-12-18,2024-12-17,2024-12-18,MERGER_ACQUISITION,Novo Holdings A/S,2024-12-18,SUSPENDED_BEFORE_MARKET_OPEN,VERIFIED,2024-12-18,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/1596783/000119312524280922/d902883d8k.htm,"NYSE trading was suspended before the opening on December 18, 2024. The Tiingo row dated December 18 is excluded."
JNPR,JNPR,"Juniper Networks, Inc.",2025-07-02,2025-07-01,2025-07-02,MERGER_ACQUISITION,Hewlett Packard Enterprise Company,2025-07-02,SUSPENDED_BEFORE_MARKET_OPEN,VERIFIED,2025-07-02,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/1043604/000119312525154400/d912160d8k.htm,"NYSE was requested to suspend trading before the opening on July 2, 2025. The Tiingo row dated July 2 is excluded."
HES,HES,Hess Corporation,2025-07-18,2025-07-17,2025-07-18,MERGER_ACQUISITION,Chevron Corporation,2025-07-18,SUSPENDED_BEFORE_MARKET_OPEN,VERIFIED,2025-07-18,EXCLUDE_PROVIDER_ARTIFACT,https://www.sec.gov/Archives/edgar/data/4447/000095014225001950/eh250651090_8k.htm,"NYSE trading was suspended before the opening on July 18, 2025. The Tiingo row dated July 18 is excluded."
