target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,evidence_id,evidence_date,source_type,source_organization,source_title,source_url,primary_source_flag,event_scope,event_category,timing_relation_to_ranking,evidence_summary,short_quote_max_25_words,provisional_theme_code,supports_cross_sector_commonality_flag,confidence_level,researcher_notes,evidence_batch
SECURITY,1,NUE,NUE,,,SEC-NUE-001,2024-04-01,COMPANY_IR,Nucor Corporation,Nucor to Acquire Manufacturer of Data Center Infrastructure,https://investors.nucor.com/news/news-details/2024/Nucor-to-Acquire-Manufacturer-of-Data-Center-Infrastructure/default.aspx,YES,COMPANY_SPECIFIC,Data-center infrastructure acquisition,BACKGROUND,"Nucor acquired Southwest Data Products for $115 million and launched Nucor Data Systems. The company explicitly linked the expansion to hyperscale/cloud/colocation data-center demand and noted AI, cloud services, and video streaming as growth drivers.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,1,NUE,NUE,,,SEC-NUE-002,2024-02-23,COMPANY_IR,Nucor Corporation,Nucor 2023 Annual Report,https://investors.nucor.com/files/doc_financials/2024/ar/2023-nucor-annual-report.pdf,YES,COMPANY_SPECIFIC,Domestic industrial/infrastructure demand,BACKGROUND,"Nucor reported that U.S. infrastructure, clean-energy, and semiconductor-re-shoring legislation was expected to generate substantial additional steel demand, reinforcing exposure to domestic capital spending and infrastructure build-out.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,2,CEG,CEG,,,SEC-CEG-001,2024-09-20,COMPANY_IR,Constellation Energy Corporation,"Constellation to Launch Crane Clean Energy Center, Restoring Jobs and Carbon-free Power to the Grid",https://investors.constellationenergy.com/news-releases/news-release-details/constellation-launch-crane-clean-energy-center-restoring-jobs,YES,COMPANY_SPECIFIC,Nuclear power agreement for data-center load,BACKGROUND,"Constellation announced a 20-year power purchase agreement with Microsoft supporting the restart of Three Mile Island Unit 1 as the Crane Clean Energy Center, adding about 835 MW of carbon-free generation intended to help match Microsoft data-center electricity use.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,2,CEG,CEG,,,SEC-CEG-002,2025-01-10,COMPANY_IR,Constellation Energy Corporation,Constellation To Acquire Calpine; Creates America’s Leading Producer of Clean and Reliable Energy,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-acquire-calpine-creates-americas-leading-producer,YES,COMPANY_SPECIFIC,Power-generation scale acquisition,BACKGROUND,"Constellation agreed to acquire Calpine for approximately $16.4 billion of equity value plus assumed net debt, combining nuclear with large natural-gas and geothermal fleets to expand reliable generation and retail supply.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,3,NFLX,NFLX,,,SEC-NFLX-001,2022-10-18,COMPANY_IR,"Netflix, Inc.",Q3 2022 Shareholder Letter,https://ir.netflix.net/files/doc_financials/2022/q3/FINAL-Q3-22-Shareholder-Letter.pdf,YES,COMPANY_SPECIFIC,Advertising-tier and account-sharing monetization,BACKGROUND,"Netflix laid out the Basic with Ads launch across 12 markets and said it would broaden paid sharing monetization in early 2023, representing a material change in monetization strategy.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,3,NFLX,NFLX,,,SEC-NFLX-002,2024-01-23,COMPANY_IR,"Netflix, Inc.",Q4 2023 Shareholder Letter,https://ir.netflix.net/files/doc_financials/2023/q4/NEW-FINAL-Q4-23-Shareholder-Letter.pdf,YES,COMPANY_SPECIFIC,Scaling advertising and paid sharing,BACKGROUND,"Netflix reported ads-plan membership rising nearly 70% quarter over quarter, with the ads plan accounting for 40% of sign-ups in ads markets, while paid sharing had become normal course.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,4,META,META,,,SEC-META-001,2023-02-01,COMPANY_IR,"Meta Platforms, Inc.",Meta Reports Fourth Quarter and Full Year 2022 Results,https://investor.atmeta.com/investor-news/press-release-details/2023/Meta-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx,YES,COMPANY_SPECIFIC,AI recommendation and efficiency restructuring,BACKGROUND,"Meta identified its AI discovery engine and Reels as major engagement drivers and designated 2023 as the 'Year of Efficiency,' linking product AI progress with a broad operating-efficiency reset.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,4,META,META,,,SEC-META-002,2024-02-01,COMPANY_IR,"Meta Platforms, Inc.",Meta Reports Fourth Quarter and Full Year 2023 Results; Initiates Quarterly Dividend,https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Initiates-Quarterly-Dividend/default.aspx?code=unknown,YES,COMPANY_SPECIFIC,AI infrastructure investment,BACKGROUND,"Meta said 2024 capital spending would rise as it invested in AI and non-AI servers and data centers, while describing evolving AI-capacity demand and longer-term infrastructure requirements.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,5,NRG,NRG,,,SEC-NRG-001,2022-12-06,COMPANY_IR,"NRG Energy, Inc.","NRG Energy, Inc. to Acquire Vivint Smart Home, Inc.",https://investors.nrg.com/news-releases/news-release-details/nrg-energy-inc-acquire-vivint-smart-home-inc,YES,COMPANY_SPECIFIC,Smart-home platform acquisition,BACKGROUND,"NRG agreed to acquire Vivint, whose integrated smart-home platform incorporated artificial intelligence and machine learning, as a transformational step in NRG's consumer-focused home-services strategy.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
SECURITY,5,NRG,NRG,,,SEC-NRG-002,2023-03-10,COMPANY_IR,"NRG Energy, Inc.","NRG Completes Acquisition of Vivint Smart Home, Inc., Creating the Leading Essential Home Services Platform",https://investors.nrg.com/news-releases/news-release-details/nrg-completes-acquisition-vivint-smart-home-inc-creating-leading,YES,COMPANY_SPECIFIC,Energy and connected-home services convergence,BACKGROUND,NRG completed the Vivint acquisition and described a roughly 7.3 million-customer network combining energy-market capabilities with tech-forward smart-home solutions and cross-selling opportunities.,,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.,1
