ticker,canonical_company_name,ambiguity_tier,nonzero_anchor_windows,total_strict_matched_source_documents,mean_mentions_per_100k,median_mentions_per_100k,min_mentions_per_100k,max_mentions_per_100k,strict_aliases_pipe,historical_alias_note,review_note,coverage_status
IRM,Iron Mountain Incorporated,HIGH,5,26,0.774843195729544,0.7180761304313483,0.122197850539809,1.696019103959187,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,STRONG_4_TO_5_OF_5
MOS,The Mosaic Company,HIGH,5,358,10.363619436389035,3.2515376521557044,1.955165608636944,39.20695672155162,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,STRONG_4_TO_5_OF_5
ALB,Albemarle Corporation,LOW,5,89,2.54623744108348,2.44395701079618,1.8410627283545415,3.1214761460694764,albemarle|albemarle corporation,,Distinctive issuer name.,STRONG_4_TO_5_OF_5
NFLX,"Netflix, Inc.",LOW,5,37113,1079.62367701204,864.6305391983935,794.1922002570712,1681.3923790045203,netflix|netflix inc,,Distinctive brand/company name.,STRONG_4_TO_5_OF_5
NUE,Nucor Corporation,LOW,5,42,1.190480821563559,1.3568152831673497,0.8368466947066099,1.466374206477708,nucor|nucor corporation,,Distinctive issuer name.,STRONG_4_TO_5_OF_5
NVDA,NVIDIA Corporation,LOW,5,7288,219.51120536755496,165.94468103306062,51.7285826707552,560.352546775546,nvidia|nvidia corporation,,Distinctive company name; bare ticker excluded.,STRONG_4_TO_5_OF_5
WMT,Walmart Inc.,LOW,5,11042,317.64734163086933,314.0484758873092,222.43385145301693,402.1226330415551,walmart|walmart inc,,Distinctive company/brand name.,STRONG_4_TO_5_OF_5
LLY,Eli Lilly and Company,MEDIUM,5,1940,55.249524228419645,62.90346902578612,26.11869420097148,90.5228082360148,eli lilly|eli lilly and company,,Broad diagnostic may surface person-name ambiguity; strict match excludes bare Lilly.,STRONG_4_TO_5_OF_5
META,"Meta Platforms, Inc.",MEDIUM,5,108366,3066.197924252877,2840.4927953108463,2368.443515358648,4602.486515873356,meta platforms|meta platforms inc|facebook|facebook inc,"Facebook, Inc. renamed Meta Platforms, Inc. during the project period.",Generic bare 'Meta' deliberately excluded.,STRONG_4_TO_5_OF_5
MPC,Marathon Petroleum Corporation,MEDIUM,5,145,3.9402359914632763,4.3991226194331245,1.5063240504718978,7.673628859087462,marathon petroleum|marathon petroleum corporation,,Full issuer phrase avoids other Marathon entities and ordinary marathon events.,STRONG_4_TO_5_OF_5
TPL,Texas Pacific Land Corporation,MEDIUM,5,15,0.4281866086875044,0.3392038207918374,0.2601230121724563,0.7180761304313483,texas pacific land|texas pacific land corporation,,Full issuer phrase only; ticker excluded.,STRONG_4_TO_5_OF_5
TSLA,"Tesla, Inc.",MEDIUM,5,1655,48.034830492315365,46.67494847803764,25.607508858022264,73.60722911182872,tesla|tesla inc,,Brand/company overlap is intentional but must be interpreted as issuer/brand attention.,STRONG_4_TO_5_OF_5
CEG,Constellation Energy Corporation,MEDIUM,4,131,4.060800524840749,4.240047759897967,0.0,9.047759243434989,constellation energy|constellation energy corporation,Standalone public-company period begins in 2022 after separation from Exelon.,Generic 'Constellation' deliberately excluded.,STRONG_4_TO_5_OF_5
WMB,"The Williams Companies, Inc.",MEDIUM,4,33,0.9913919095948875,0.977582804318472,0.0,2.008432067295864,williams companies|the williams companies|the williams companies inc,,Bare Williams excluded because of severe ambiguity.,STRONG_4_TO_5_OF_5
NRG,"NRG Energy, Inc.",MEDIUM,2,4,0.11060870575972359,0.0,0.0,0.430845678258809,nrg energy|nrg energy inc,,NRG abbreviation alone excluded.,USABLE_2_TO_3_OF_5
