security_key,latest_project_ticker,canonical_company_name,exact_legal_name_alias,structural_ambiguity_tier,historical_name_review_flag,ticker_like_exact_name_flag,ticker_candidate_ciks_pipe,current_exact_name_ciks_pipe,historical_exact_name_ciks_pipe,candidate_sec_cik,mapping_status,mapping_rationale,sec_current_name,sec_current_name_normalized,sec_tickers_pipe,former_name_count,sec_current_name_exact_match_flag,former_name_evidence_flag,sec_resolution_review_flag,review_priority,review_reason
ABMD,ABMD,Abiomed,abiomed,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
ANSS,ANSS,ANSYS,ansys,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
CERN,CERN,Cerner,cerner,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
CMA,CMA,Comerica,comerica,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
CTLT,CTLT,Catalent,catalent,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
DHR,DHR,DANAHER CORP,danaher corp,HIGH,1,0,0000313616,,0000755230,,REVIEW_CONFLICT,Unique ticker candidate 0000313616 conflicts with unique exact-name candidate 0000755230.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
GPS,GPS,Gap,gap,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
HBI,HBI,Hanesbrands,hanesbrands,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
HES,HES,Hess,hess,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
HFC,HFC,HollyFrontier,hollyfrontier,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
HOLX,HOLX,Hologic,hologic,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
KEY,KEY,KEYCORP,keycorp,HIGH,1,0,0000091576,,0000036208,,REVIEW_CONFLICT,Unique ticker candidate 0000091576 conflicts with unique exact-name candidate 0000036208.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
NLSN,NLSN,Nielsen Holdings,nielsen holdings,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
OKE,OKE,ONEOK INC,oneok inc,HIGH,1,0,0001039684,,0000074154,,REVIEW_CONFLICT,Unique ticker candidate 0001039684 conflicts with unique exact-name candidate 0000074154.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
TWTR,TWTR,Twitter,twitter,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
WAT,WAT,WATERS CORP,waters corp,HIGH,1,0,0001000697,,0000930809,,REVIEW_CONFLICT,Unique ticker candidate 0001000697 conflicts with unique exact-name candidate 0000930809.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
XLNX,XLNX,Xilinx,xilinx,HIGH,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
AWK,AWK,AMERICAN WATER WORKS CO INC,american water works co inc,LOW,0,0,0001410636,,0000318819,,REVIEW_CONFLICT,Unique ticker candidate 0001410636 conflicts with unique exact-name candidate 0000318819.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
BAC,BAC,BANK OF AMERICA CORP,bank of america corp,LOW,0,0,0000070858,,0001085917,,REVIEW_CONFLICT,Unique ticker candidate 0000070858 conflicts with unique exact-name candidate 0001085917.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
DISCA,DISCA,Discovery Inc Class A,discovery inc class a,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
DISCK,DISCK,Discovery Inc Class C,discovery inc class c,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
FBHS,FBHS,Fortune Brands Home & Security,fortune brands home and security,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
MXIM,MXIM,Maxim Integrated Products,maxim integrated products,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
