month,security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,production_aliases_pipe,alias_selection_reasons_pipe,authoritative_name_source_layers_pipe,first_available_date,last_available_date
2021-08,BBWI,0000701985,BBWI,LOW,bath and body works|l brands,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,2021-08-01,2021-08-31
2021-10,CTRA,,CTRA,MEDIUM,cabot oil and gas|coterra energy,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2021-10-01,2021-10-31
2021-10,META,0001326801,META,LOW,facebook|meta platforms,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2021-10-01,2021-10-31
2021-11,FFIV,0001048695,FFIV,HIGH,f5|f5 networks,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2021-11-01,2021-11-30
2022-04,CRM,0001108524,CRM,HIGH,salesforce|salesforce com,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2022-04-01,2022-04-30
2022-06,ELV,0001156039,ELV,MEDIUM,anthem|elevance health,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2022-06-01,2022-06-30
2022-08,J,0000052988,J,MEDIUM,jacobs engineering group|jacobs solutions,CONSERVATIVE_LEGAL_CORE,STAGE3G_AUTHORITATIVE_SAMPLE_NAME,2022-08-01,2022-08-31
2022-08,PENN,0000921738,PENN,LOW,penn entertainment|penn national gaming,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,2022-08-01,2022-08-31
2022-11,GEN,0000849399,GEN,MEDIUM,gen digital|nortonlifelock,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2022-11-01,2022-11-30
2022-12,FBHS,0001519751,FBHS,LOW,fortune brands home and security|fortune brands innovations,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,2022-12-01,2022-12-18
2023-02,CI,0001739940,CI,LOW,cigna|cigna group,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2023-02-01,2023-02-28
2023-05,RVTY,0000031791,RVTY,HIGH,perkinelmer|revvity,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2023-05-01,2023-05-31
2023-05,SRE,0001032208,SRE,HIGH,sempra|sempra energy,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2023-05-01,2023-05-31
2023-07,EG,0001095073,EG,MEDIUM,everest group|everest re group,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2023-07-01,2023-07-31
2023-07,RHI,0000315213,RHI,MEDIUM,robert half|robert half international,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,2023-07-01,2023-07-31
2023-07,RTX,0000101829,RTX,HIGH,raytheon technologies|rtx corp,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL|QUALIFIED_FULL_AUTHORITATIVE_NAME_BARE_TICKER_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2023-07-01,2023-07-31
2023-08,COR,0001140859,COR,HIGH,amerisourcebergen|cencora,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2023-08-01,2023-08-31
2023-10,K,0000055067,K,HIGH,kellanova|kellogg company,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,2023-10-01,2023-10-31
2024-03,CPAY,0001175454,CPAY,HIGH,corpay|fleetcor technologies,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2024-03-01,2024-03-31
2024-05,LH,0000920148,LH,HIGH,labcorp holdings inc|laboratory corporation of america holdings,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3G_AUTHORITATIVE_SAMPLE_NAME,2024-05-01,2024-05-31
2024-11,CPB,0000016732,CPB,LOW,campbell soup|campbells,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2024-11-01,2024-11-30
2025-02,HIG,0000874766,HIG,LOW,hartford financial services group|hartford insurance group,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2025-02-01,2025-02-28
2025-10,SLB,0000087347,SLB,HIGH,schlumberger nv|slb ltd,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL|QUALIFIED_FULL_AUTHORITATIVE_NAME_BARE_TICKER_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,2025-10-01,2025-10-31
