target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,theme_code,theme_name,taxonomy_domain,supporting_evidence_id,supporting_event_category,supporting_source_organization,supporting_source_url,taxonomy_sha256
SECURITY,1,NUE,NUE,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-NUE-001,Data-center infrastructure acquisition,Nucor Corporation,https://investors.nucor.com/news/news-details/2024/Nucor-to-Acquire-Manufacturer-of-Data-Center-Infrastructure/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,1,NUE,NUE,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-NUE-002,Domestic industrial/infrastructure demand,Nucor Corporation,https://investors.nucor.com/files/doc_financials/2024/ar/2023-nucor-annual-report.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,1,NUE,NUE,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-NUE-001,Data-center infrastructure acquisition,Nucor Corporation,https://investors.nucor.com/news/news-details/2024/Nucor-to-Acquire-Manufacturer-of-Data-Center-Infrastructure/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,1,NUE,NUE,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-NUE-002,Domestic industrial/infrastructure demand,Nucor Corporation,https://investors.nucor.com/files/doc_financials/2024/ar/2023-nucor-annual-report.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,1,NUE,NUE,,,S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,SEC-NUE-001,Data-center infrastructure acquisition,Nucor Corporation,https://investors.nucor.com/news/news-details/2024/Nucor-to-Acquire-Manufacturer-of-Data-Center-Infrastructure/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,2,CEG,CEG,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-CEG-001,Nuclear power agreement for data-center load,Constellation Energy Corporation,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-launch-crane-clean-energy-center-restoring-jobs,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,2,CEG,CEG,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-CEG-001,Nuclear power agreement for data-center load,Constellation Energy Corporation,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-launch-crane-clean-energy-center-restoring-jobs,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,2,CEG,CEG,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-CEG-002,Power-generation scale acquisition,Constellation Energy Corporation,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-acquire-calpine-creates-americas-leading-producer,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,2,CEG,CEG,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-CEG-001,Nuclear power agreement for data-center load,Constellation Energy Corporation,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-launch-crane-clean-energy-center-restoring-jobs,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,2,CEG,CEG,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-CEG-001,Nuclear power agreement for data-center load,Constellation Energy Corporation,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-launch-crane-clean-energy-center-restoring-jobs,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,2,CEG,CEG,,,S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,SEC-CEG-002,Power-generation scale acquisition,Constellation Energy Corporation,https://investors.constellationenergy.com/news-releases/news-release-details/constellation-acquire-calpine-creates-americas-leading-producer,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,3,NFLX,NFLX,,,S06,Digital Platform / Monetization Shift,SECURITY_STRUCTURAL,SEC-NFLX-001,Advertising-tier and account-sharing monetization,"Netflix, Inc.",https://ir.netflix.net/files/doc_financials/2022/q3/FINAL-Q3-22-Shareholder-Letter.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
