security_key,latest_project_ticker,canonical_company_name,research_type,from_name_key,to_name_key,search_start_date,search_end_date,candidate_sec_cik,research_priority,required_source_standard,research_question
BXP,BXP,BXP INC,EXACT_RENAME_DATE,BOSTON PROPERTIES,BXP,2024-06-30,2024-09-30,0001037540,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CCI,CCI,CROWN CASTLE INC,EXACT_RENAME_DATE,CROWN CASTLE INTERNATIONAL,CROWN CASTLE,2022-06-30,2022-09-30,0001051470,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CI,CI,THE CIGNA GROUP,EXACT_RENAME_DATE,CIGNA,CIGNA GROUP,2022-12-31,2023-03-31,0001739940,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
COR,COR,CENCORA INC,EXACT_RENAME_DATE,AMERISOURCEBERGEN,CENCORA,2023-06-30,2023-09-30,0001140859,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CPAY,CPAY,CORPAY INC,EXACT_RENAME_DATE,FLEETCOR TECHNOLOGIES,CORPAY,2023-12-31,2024-03-31,0001175454,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CPB,CPB,The Campbell's Company,EXACT_RENAME_DATE,CAMPBELL SOUP,CAMPBELL S,2024-09-30,2024-12-31,0000016732,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CRM,CRM,SALESFORCE INC,EXACT_RENAME_DATE,SALESFORCE COM,SALESFORCE,2022-03-31,2022-06-30,0001108524,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CSCO,CSCO,CISCO SYSTEMS INC,EXACT_RENAME_DATE,CISCO SYSTEMS,CISCO SYSTEMS INC DELAWARE,2020-12-31,2021-03-31,0000858877,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CSCO,CSCO,CISCO SYSTEMS INC,EXACT_RENAME_DATE,CISCO SYSTEMS INC DELAWARE,CISCO SYSTEMS,2021-12-31,2022-03-31,0000858877,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
CTRA,CTRA,Coterra Energy,EXACT_RENAME_DATE,CABOT OIL AND GAS,COTERRA ENERGY,2021-09-30,2021-12-31,,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
EG,EG,EVEREST GROUP LTD,EXACT_RENAME_DATE,EVEREST RE GROUP,EVEREST GROUP,2023-06-30,2023-09-30,0001095073,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
ELV,ELV,ELEVANCE HEALTH INC,EXACT_RENAME_DATE,ANTHEM,ELEVANCE HEALTH,2022-03-31,2022-06-30,0001156039,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
FFIV,FFIV,F5 INC,EXACT_RENAME_DATE,F5 NETWORKS,F5,2021-09-30,2021-12-31,0001048695,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
FRT,FRT,FEDERAL REALTY INVS TRUST,EXACT_RENAME_DATE,FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY OP LP,2022-03-31,2022-06-30,0000034903,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
FRT,FRT,FEDERAL REALTY INVS TRUST,EXACT_RENAME_DATE,FEDERAL REALTY OP LP,FEDERAL REALTY INVESTMENT TRUST,2022-06-30,2022-09-30,0000034903,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
GEN,GEN,GEN DIGITAL INC,EXACT_RENAME_DATE,NORTONLIFELOCK,GEN DIGITAL,2022-09-30,2022-12-31,0000849399,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
HIG,HIG,HARTFORD INSURANCE GROUP INC,EXACT_RENAME_DATE,HARTFORD FINANCIAL SERVICES GROUP,HARTFORD INSURANCE GROUP,2024-12-31,2025-03-31,0000874766,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
META,META,META PLATFORMS INC CLASS A,EXACT_RENAME_DATE,FACEBOOK,META PLATFORMS,2021-09-30,2021-12-31,0001326801,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
RTX,RTX,RTX CORP,EXACT_RENAME_DATE,RAYTHEON TECHNOLOGIES,RTX,2023-06-30,2023-09-30,0000101829,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
RVTY,RVTY,REVVITY INC,EXACT_RENAME_DATE,PERKINELMER,REVVITY,2023-03-31,2023-06-30,0000031791,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
SLB,SLB,SLB LTD,EXACT_RENAME_DATE,SCHLUMBERGER NV,SLB,2025-09-30,2025-12-31,0000087347,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
SRE,SRE,SEMPRA,EXACT_RENAME_DATE,SEMPRA ENERGY,SEMPRA,2023-06-30,2023-09-30,0001032208,1,SEC filing/current report/company investor-relations announcement or other primary authoritative corporate source,What exact effective date changed the issuer/company name from the old observed name to the new observed name?
ABNB,ABNB,Airbnb,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001559720,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ACN,ACN,ACCENTURE PLC CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001467373,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ADM,ADM,ARCHER DANIELS MIDLAND CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000007084,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AIG,AIG,AMERICAN INTERNATIONAL GROUP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000005272,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AJG,AJG,ARTHUR J GALLAGHER + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000354190,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AOS,AOS,SMITH (A.O.) CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000091142,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
APD,APD,AIR PRODUCTS + CHEMICALS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000002969,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
APO,APO,Apollo Global Mgt,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001858681,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ARE,ARE,ALEXANDRIA REAL ESTATE EQUIT,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001035443,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AZO,AZO,AUTOZONE INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000866787,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BG,BG,Bunge,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001996862,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BLK,BLK,BLACKROCK INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002012383,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BR,BR,BROADRIDGE FINANCIAL SOLUTIO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001383312,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BX,BX,Blackstone,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001393818,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
C,C,CITIGROUP INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000831001,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CAH,CAH,CARDINAL HEALTH INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000721371,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CBRE,CBRE,CBRE GROUP INC   A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001138118,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CCL,CCL,CARNIVAL CORP LTD,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000815097,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CDNS,CDNS,CADENCE DESIGN SYS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000813672,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CEG,CEG,Constellation Energy,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001868275,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CHD,CHD,CHURCH + DWIGHT CO INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000313927,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001043277,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CHTR,CHTR,CHARTER COMMUNICATIONS INC A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001091667,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CL,CL,COLGATE PALMOLIVE CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000021665,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CLX,CLX,CLOROX COMPANY,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000021076,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CNP,CNP,CENTERPOINT ENERGY INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001130310,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CRL,CRL,Charles River Laboratories Intl,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001100682,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CSGP,CSGP,CoStar Group,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001057352,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CTSH,CTSH,COGNIZANT TECH SOLUTIONS A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001058290,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
DASH,DASH,DoorDash,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001792789,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
DE,DE,DEERE + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000315189,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EFX,EFX,EQUIFAX INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000033185,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EL,EL,ESTEE LAUDER COMPANIES CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001001250,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EXE,EXE,Expand Energy,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000895126,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
EXPD,EXPD,EXPEDITORS INTL WASH INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000746515,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FANG,FANG,DIAMONDBACK ENERGY INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001539838,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FICO,FICO,Fair Isaac & Co,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000814547,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FIS,FIS,FIDELITY NATIONAL INFO SERV,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001136893,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
FIX,FIX,Comfort Systems USA,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001035983,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
GEHC,GEHC,GE HealthCare Technologies,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001932393,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
GEV,GEV,GE Vernova,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001996810,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
GILD,GILD,GILEAD SCIENCES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000882095,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
HBAN,HBAN,HUNTINGTON BANCSHARES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000049196,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
HII,HII,HUNTINGTON INGALLS INDUSTRIE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001501585,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
HLT,HLT,HILTON WORLDWIDE HOLDINGS IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001585689,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
