code,domain,theme_name,definition,inclusion_rule,exclusion_rule
S01,SECURITY_STRUCTURAL,AI / Compute / Digital Infrastructure,"Direct material exposure to AI compute, cloud/data-center capacity, high-speed networking, or physical infrastructure specifically serving digital-compute demand.","Assign only when primary evidence explicitly connects the company/product/capacity to AI, cloud, data centers, hyperscalers, accelerated computing, or AI networking.","Do not assign merely because a company uses ordinary software, analytics, or automation."
S02,SECURITY_STRUCTURAL,Power / Energy Infrastructure,"Generation, transmission, pipelines, storage, refining, midstream, or other physical energy infrastructure whose economics depend materially on supplying power or fuel.",Assign when primary evidence documents material generation/transmission/storage/refining/midstream assets or expansion.,Do not assign solely for energy consumption or generic sustainability initiatives.
S03,SECURITY_STRUCTURAL,Electrification / Energy Transition,"Material exposure to EVs, batteries/storage, renewable fuels, clean ammonia, low-carbon power, or minerals/materials explicitly tied to electrification or energy-transition investment.","Assign only when primary evidence explicitly links products/capacity/demand to electrification, EVs, storage, renewable/low-carbon energy, or transition projects.",Do not infer from general ESG language.
S04,SECURITY_STRUCTURAL,Commodity / Resource Scarcity & Pricing,"Profitability or strategic value materially exposed to commodity/resource prices, constrained supply, resource royalties, agricultural inputs, metals, hydrocarbons, or fertilizer economics.",Assign when primary evidence explicitly documents price/supply/resource economics or royalty exposure.,Do not assign to firms that merely purchase commodities as ordinary inputs.
S05,SECURITY_STRUCTURAL,Capacity Expansion / Supply-Demand Imbalance,"Strong demand, limited supply, high occupancy/bookings/utilization, or material capacity expansion documented as central to the company's growth.","Assign when evidence shows demand persistence or supply constraints leading to manufacturing, property, fleet, network, generation, or other capacity expansion.",Do not assign for routine capex without documented demand/supply rationale.
S06,SECURITY_STRUCTURAL,Digital Platform / Monetization Shift,"A material business-model shift toward advertising, subscription/DTC, marketplace, membership, connected services, paid sharing, or other scalable digital monetization.",Assign when primary evidence documents a material monetization or distribution-model transition.,Do not assign for ordinary e-commerce sales alone unless the evidence identifies platform/advertising/membership/DTC monetization as strategically material.
S07,SECURITY_STRUCTURAL,Experiential / Consumer Demand,"Persistent or rebounding consumer demand for travel, live entertainment, destinations, or other experience-oriented consumption with pricing/booking/attendance evidence.","Assign when primary evidence documents bookings, attendance, pricing, or experience demand.",Do not assign to general consumer staples/retail without an experience-oriented demand mechanism.
S08,SECURITY_STRUCTURAL,Real-Asset Occupancy / Demographic Demand,"Real-estate or location-based economics supported by occupancy, leasing, demographic demand, redevelopment, or constrained physical supply.",Assign when evidence directly documents occupancy/leasing/demographic/supply-demand or redevelopment as a material economic driver.,Do not assign solely because the company owns real estate.
S09,SECURITY_STRUCTURAL,Strategic Consolidation / Portfolio Scale,"A large acquisition, integration, divestiture, or portfolio restructuring materially changes scale, asset mix, market reach, or economics.",Assign when primary evidence describes a material acquisition/integration/restructuring as strategic.,Do not assign for small routine transactions.
S10,SECURITY_STRUCTURAL,Recurring Membership / Customer-Loyalty Economics,"Recurring membership or subscription-like customer economics with documented renewal, member growth, or fee-income importance outside pure media streaming.","Assign when evidence directly documents membership scale, renewal, fee income, or loyalty economics.",Do not infer solely from repeat customers.
M01,MONTH_MACRO,Accommodative Monetary / Fiscal Support,"Near-zero/expansionary monetary policy, large-scale asset purchases, or major fiscal support is a salient contemporaneous holding-window event.",Assign only with official policy/fiscal evidence during the holding window.,Do not infer accommodation from market prices alone.
M02,MONTH_MACRO,Restrictive / Tightening Monetary Policy,"Rate hikes, an explicitly restrictive stance, or forceful anti-inflation guidance is salient during the holding window.",Assign when official Fed communication documents tightening/restrictive policy.,Do not assign merely because rates are historically high if policy stance is not evidenced.
M03,MONTH_MACRO,Easing / Policy-Pivot Transition,"Rate cuts, explicit guidance toward easing, or a meaningful policy transition away from prior restraint is salient during the holding window.",Assign when an official Fed action or communication explicitly signals/implements easing.,Do not infer a pivot solely from falling yields or market expectations.
M04,MONTH_MACRO,Disinflation / Inflation Deceleration,"Official inflation data show a meaningful contemporaneous slowing, flat/negative monthly headline CPI, or continued movement toward lower inflation.",Assign from official BLS CPI evidence indicating deceleration/disinflation.,Do not assign based on forecasts.
M05,MONTH_MACRO,Persistent / Sticky Inflation,"Official inflation data or Fed communication emphasize inflation remaining elevated or sticky, including shelter/services pressure.",Assign when official contemporaneous evidence explicitly supports persistence/stickiness.,Do not assign solely because inflation is above 2% without supporting context.
M06,MONTH_MACRO,Labor / Growth Resilience,Official evidence shows solid labor-market or economic activity resilience as a salient part of the policy/inflation regime.,Assign from official labor or Fed evidence documenting resilient activity/employment.,Do not infer from equity-market returns.
M07,MONTH_MACRO,Macro Uncertainty / Dual-Mandate Rebalancing,"Official Fed communication explicitly highlights increased uncertainty, labor-market cooling, or a changing balance between inflation and employment risks.",Assign only when official Fed communication explicitly describes this changing balance.,Do not use generic uncertainty language from non-primary commentary.
