security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale,research_priority,required_source_standard,research_question
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,0001137789,RESEARCH_MULTIPLE_UNEXPLAINED_NPORT_STATES,Seagate Technology Holdings plc,SEAGATE TECHNOLOGY HOLDINGS,Seagate Technology Holdings PLC|Seagate Technology PLC,SEAGATE TECHNOLOGY|SEAGATE TECHNOLOGY HOLDINGS,2,0,1,1,SEAGATE TECHNOLOGY,0,RESEARCH_MULTIPLE_UNEXPLAINED_NPORT_STATES,Multiple authoritative historical NPORT issuer-name states remain and must be resolved from primary evidence.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
APO,APO,Apollo Global Mgt,0001858681,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Apollo Global Management, Inc.",APOLLO GLOBAL MANAGEMENT,Apollo Global Management Inc,APOLLO GLOBAL MANAGEMENT,1,1,1,1,TANGO HOLDINGS,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
BLK,BLK,BLACKROCK INC,0002012383,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"BlackRock, Inc.",BLACKROCK,BlackRock Inc|Blackrock Inc,BLACKROCK,1,1,2,1,BLACKROCK|BLACKROCK FUNDING INC DE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
BX,BX,Blackstone,0001393818,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Blackstone Inc.,BLACKSTONE,Blackstone Inc,BLACKSTONE,1,1,2,1,BLACKSTONE|BLACKSTONE GROUP,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
CEG,CEG,Constellation Energy,0001868275,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Constellation Energy Corp,CONSTELLATION ENERGY,Constellation Energy Corp,CONSTELLATION ENERGY,1,1,1,1,CONSTELLATION NEWHOLDCO,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
EXE,EXE,Expand Energy,0000895126,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,EXPAND ENERGY Corp,EXPAND ENERGY,Expand Energy Corp,EXPAND ENERGY,1,1,1,1,CHESAPEAKE ENERGY,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
GEHC,GEHC,GE HealthCare Technologies,0001932393,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,GE HealthCare Technologies Inc.,GE HEALTHCARE TECHNOLOGIES,GE HealthCare Technologies Inc,GE HEALTHCARE TECHNOLOGIES,1,1,1,1,GE HEALTHCARE HOLDING,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
HBAN,HBAN,HUNTINGTON BANCSHARES INC,0000049196,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES,Huntington Bancshares Inc/OH,HUNTINGTON BANCSHARES INC OH,1,0,2,1,HUNTINGTON BANCSHARES|HUNTINGTON BANCSHARES INC MD,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
IVZ,IVZ,INVESCO LTD,0000914208,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Invesco Ltd.,INVESCO,Invesco Ltd,INVESCO,1,1,1,1,INVESCO ASSET MANAGEMENT DEUTSCHLAND GMBH,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
J,J,JACOBS SOLUTIONS INC,0000052988,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,JACOBS SOLUTIONS INC.,JACOBS SOLUTIONS,Jacobs Solutions Inc,JACOBS SOLUTIONS,1,1,1,1,JACOBS ENGINEERING GROUP,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
JKHY,JKHY,JACK HENRY + ASSOCIATES INC,0000779152,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,JACK HENRY & ASSOCIATES INC,JACK HENRY AND ASSOCIATES,Jack Henry & Associates Inc,JACK HENRY AND ASSOCIATES,1,1,1,1,HENRY JACK AND ASSOCIATES,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
KVUE,KVUE,Kenvue,0001944048,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Kenvue Inc.,KENVUE,Kenvue Inc,KENVUE,1,1,1,1,JNTL,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
LH,LH,LABCORP HOLDINGS INC,0000920148,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,LABCORP HOLDINGS INC.,LABCORP HOLDINGS,Labcorp Holdings Inc,LABCORP HOLDINGS,1,1,1,1,LABORATORY CORP OF AMERICA HOLDINGS,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
