holding_identifier,identifier_type,security_key,company_name,evidence_first_report_date,evidence_last_report_date,identity_basis,supporting_identity_evidence,review_status
IE00BY7QL619,ISIN,JCI,Johnson Controls International plc,2020-12-31,2025-12-31,SEC NPORT stable ISIN/LEI across 21 quarterly observations; project identity JCI.,SEC ISIN IE00BY7QL619; LEI 549300XQ6S1GYKGBL205; ticker history JCI.,APPROVED_RESIDUAL_OVERRIDE
NL0009434992,ISIN,LYB,LyondellBasell Industries NV,2020-12-31,2025-12-31,SEC NPORT stable ISIN/LEI across 21 quarterly observations; project identity LYB.,SEC ISIN NL0009434992; LEI BN6WCCZ8OVP3ITUUVN49; ticker history LYB.,APPROVED_RESIDUAL_OVERRIDE
BMG667211046,ISIN,NCLH,Norwegian Cruise Line Holdings Ltd,2020-12-31,2025-12-31,SEC NPORT stable ISIN across 21 quarterly observations; project identity NCLH.,SEC ISIN BMG667211046; ticker history NCLH.,APPROVED_RESIDUAL_OVERRIDE
30231G102,CUSIP,XOM,Exxon Mobil Corp,2020-12-31,2025-12-31,SEC NPORT common-stock CUSIP is stable across 21 observations; project identity XOM.,SEC CUSIP 30231G102; ISIN US30231G1022; LEI J3WHBG0MTS7O8ZVMDC91; ticker history XOM.,APPROVED_RESIDUAL_OVERRIDE
339041105,CUSIP,CPAY,FleetCor Technologies Inc,2020-12-31,2023-12-31,FleetCor old CUSIP and Corpay new CUSIP share the same SEC LEI; current project identity is CPAY.,FleetCor CUSIP 339041105 and Corpay CUSIP 219948106 share LEI 549300DG6RR0NQSFLN74.,APPROVED_RESIDUAL_OVERRIDE
70432V102,CUSIP,PAYC,Paycom Software Inc,2020-12-31,2025-12-31,SEC NPORT stable CUSIP/ISIN/LEI across the entire source window; project ticker history PAYC.,SEC CUSIP 70432V102; ISIN US70432V1026; LEI 254900LSB0HNJUDC6Q18.,APPROVED_RESIDUAL_OVERRIDE
205887102,CUSIP,CAG,Conagra Brands Inc,2020-12-31,2025-12-31,SEC NPORT stable CUSIP/LEI across all 21 quarterly observations; one sector only: Consumer Staples.,SEC CUSIP 205887102; ISIN US2058871029; LEI 54930035UDEIH090K650; ticker history CAG.,APPROVED_RESIDUAL_OVERRIDE
134429109,CUSIP,CPB,Campbell Soup Co / The Campbell's Company,2020-12-31,2025-12-31,Same SEC CUSIP/ISIN/LEI persists through issuer naming change; 21/21 observations remain Consumer Staples.,SEC CUSIP 134429109; ISIN US1344291091; LEI 5493007JDSMX8Z5Z1902; ticker history CPB.,APPROVED_RESIDUAL_OVERRIDE
127097103,CUSIP,CTRA,Cabot Oil & Gas Corp / Coterra Energy Inc,2020-12-31,2025-12-31,Same SEC CUSIP/ISIN/LEI persists across Cabot Oil & Gas to Coterra naming change; 21/21 observations remain Energy.,SEC CUSIP 127097103; ISIN US1270971039; LEI FCNMH6O7VWU7LHXMK351; ticker history CTRA.,APPROVED_RESIDUAL_OVERRIDE
285512109,CUSIP,EA,Electronic Arts Inc,2020-12-31,2025-12-31,SEC NPORT stable CUSIP/ISIN/LEI across all 21 quarterly observations; one sector only: Communication Services.,SEC CUSIP 285512109; ISIN US2855121099; LEI 549300O7A67PUEYKDL45; ticker history EA.,APPROVED_RESIDUAL_OVERRIDE
436440101,CUSIP,HOLX,Hologic Inc,2020-12-31,2025-12-31,SEC NPORT stable CUSIP/ISIN/LEI across all 21 quarterly observations; one sector only: Health Care.,SEC CUSIP 436440101; ISIN US4364401012; LEI 549300DYP6F5ZJL0LB74; ticker history HOLX.,APPROVED_RESIDUAL_OVERRIDE
513272104,CUSIP,LW,Lamb Weston Holdings Inc,2020-12-31,2025-12-31,SEC NPORT stable CUSIP/ISIN/LEI across all 21 quarterly observations; one sector only: Consumer Staples.,SEC CUSIP 513272104; ISIN US5132721045; LEI 5493005SMYID1D2OY946; ticker history LW.,APPROVED_RESIDUAL_OVERRIDE
73278L105,CUSIP,POOL,Pool Corp,2020-12-31,2025-12-31,Exact SEC issuer/CUSIP evidence for Pool Corp across all 21 quarterly observations; one sector only: Consumer Discretionary. Whirlpool 963320106 was only a diagnostic substring false positive and is explicitly excluded.,SEC CUSIP 73278L105; ISIN US73278L1052; LEI 5493005VZK1KMN6CO617; ticker history POOL.,APPROVED_RESIDUAL_OVERRIDE
