ticker,canonical_company_name,ambiguity_tier,variant_rank,normalized_organization_variant,weighted_source_documents,nameset_rows,is_strict_alias,strict_aliases_pipe,historical_alias_note,review_note,suggested_review_status,manual_review_decision,manual_review_rationale,manual_review_priority
IRM,Iron Mountain Incorporated,HIGH,1,iron mountain incorporated,15,13,1,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,ACCEPT_ALREADY_FROZEN_STRICT_ALIAS,,,1
IRM,Iron Mountain Incorporated,HIGH,2,iron mountain inc,11,10,1,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,ACCEPT_ALREADY_FROZEN_STRICT_ALIAS,,,1
IRM,Iron Mountain Incorporated,HIGH,3,iron mountain high school,5,5,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,4,credit iron mountain va medical center,2,2,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,5,iron mountain school board,2,2,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,6,dickinson county library in iron mountain,2,2,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,7,leduc at iron mountain high school,2,2,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,8,iron mountain high school class,2,2,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,9,iron mountain processing,2,2,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,10,iron mountain incorporated united states,1,1,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,11,iron mountain data centers,1,1,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,12,boston iron mountain incorporated,1,1,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,13,services for iron mountain data centers,1,1,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,14,iron mountain academic booster club,1,1,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
IRM,Iron Mountain Incorporated,HIGH,15,services for iron mountain data centres,1,1,0,iron mountain incorporated|iron mountain inc,,Strict match avoids bare Iron Mountain; broad variants are mandatory for ambiguity review.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,1,mosaic company,358,342,1,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,ACCEPT_ALREADY_FROZEN_STRICT_ALIAS,,,1
MOS,The Mosaic Company,HIGH,2,grenfell memorial community mosaic,56,2,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,3,mosaic co,22,22,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,4,mosaic sustainable finance corp,20,4,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,5,mosaic solutions,15,15,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,6,mosaic church,11,11,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,7,mosaic medical center,8,8,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,8,mosaic templars cultural center,7,7,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,9,mosaic international south asian film festival,5,5,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,10,mosaic company profile,5,5,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,11,mosaic laboratories,4,4,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,12,gaziantep zeugma mosaic museum,4,4,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,13,mosaic family health inc,4,4,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,14,mosaic family health non,4,4,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
MOS,The Mosaic Company,HIGH,15,mosaic health solutions,3,2,0,the mosaic company|mosaic company,,Bare Mosaic excluded from strict coverage because it is highly ambiguous.,MANUAL_REVIEW_REQUIRED,,,1
CEG,Constellation Energy Corporation,MEDIUM,1,constellation energy,123,116,1,constellation energy|constellation energy corporation,Standalone public-company period begins in 2022 after separation from Exelon.,Generic 'Constellation' deliberately excluded.,ACCEPT_ALREADY_FROZEN_STRICT_ALIAS,,,2
CEG,Constellation Energy Corporation,MEDIUM,2,constellation energy three mile island,14,14,0,constellation energy|constellation energy corporation,Standalone public-company period begins in 2022 after separation from Exelon.,Generic 'Constellation' deliberately excluded.,MANUAL_REVIEW_REQUIRED,,,2
CEG,Constellation Energy Corporation,MEDIUM,3,constellation energy corporation,13,13,1,constellation energy|constellation energy corporation,Standalone public-company period begins in 2022 after separation from Exelon.,Generic 'Constellation' deliberately excluded.,ACCEPT_ALREADY_FROZEN_STRICT_ALIAS,,,2
CEG,Constellation Energy Corporation,MEDIUM,4,constellation energy corp,8,8,0,constellation energy|constellation energy corporation,Standalone public-company period begins in 2022 after separation from Exelon.,Generic 'Constellation' deliberately excluded.,MANUAL_REVIEW_REQUIRED,,,2
CEG,Constellation Energy Corporation,MEDIUM,5,constellation energy generation,4,4,0,constellation energy|constellation energy corporation,Standalone public-company period begins in 2022 after separation from Exelon.,Generic 'Constellation' deliberately excluded.,MANUAL_REVIEW_REQUIRED,,,2
CEG,Constellation Energy Corporation,MEDIUM,6,vistra and constellation energy performance,4,4,0,constellation energy|constellation energy corporation,Standalone public-company period begins in 2022 after separation from Exelon.,Generic 'Constellation' deliberately excluded.,MANUAL_REVIEW_REQUIRED,,,2
